periodo,Consumo,FBCF,PIB,%C,%I,%Y,i,P,r
1980/01,5529511.902,1459725.745,7474213.956,,,,19.81615385,2.75,2.204038462
1980/02,5650173.636,1485201.295,7522973.195,0.0218214,0.0174523,0.0065237,22.18615385,2.0375,3.509038462
1980/03,5837120.587,1521478.879,7685376.492,0.0330869,0.0244260,0.0215876,21.91384615,1.87,3.608461538
1980/04,5897448.025,1558789.232,7907934.726,0.0103351,0.0245224,0.0289587,26.12230769,2.27,4.260576923
1981/01,6422571.993,1570410.848,8084516.695,0.0890426,0.0074555,0.0223297,28.80846154,2.52,4.682115385
1981/02,6757471.517,1595022.413,8293998.072,0.0521441,0.0156721,0.0259114,28.30307692,1.7325,5.343269231
1981/03,6724486.305,1633321.918,8337355.645,-0.0048813,0.0240119,0.0052276,32.63384615,1.975,6.183461538
1981/04,6658190.325,1643913.84,8486725.815,-0.0098589,0.0064849,0.0179158,33.52928571,2.95,5.432321429
1982/01,6431277.577,1641061.061,8323204.616,-0.0340802,-0.0017354,-0.0192679,35.16666667,4.4925,4.299166667
1982/02,5933030.499,1619215.596,8335887.692,-0.0774725,-0.0133118,0.0015238,43.24,5.2525,5.5575
1982/03,5436648.526,1569852.729,8275935.609,-0.0836642,-0.0304857,-0.0071920,53.00928571,6.7225,6.529821429
1982/04,4289069.095,1553796.974,8094342.662,-0.2110821,-0.0102276,-0.0219423,51.38846154,7.95,4.897115385
1983/01,3978920.636,1528972.119,8034495.027,-0.0723114,-0.0159769,-0.0073938,62.26538462,6.855,8.711346154
1983/02,3899008.749,1526049.951,7872944.256,-0.0200838,-0.0019112,-0.0201071,63.01615385,4.85,10.90403846
1983/03,3909322.541,1526164.597,7938300.931,0.0026452,0.0000751,0.0083014,58.43461538,3.805,10.80365385
1983/04,4166897.845,1534061.525,8029626.79,0.0658875,0.0051744,0.0115045,54.22076923,4.955,8.600192308
1984/01,3950055.221,1562349.379,8251253.645,-0.0520393,0.0184398,0.0276011,49.80846154,5.0575,7.394615385
1984/02,4059701.773,1562494.497,8129804.157,0.0277582,0.0000929,-0.0147189,49.56307692,3.6375,8.753269231
1984/03,4543619.079,1586346.08,8326671.815,0.1192002,0.0152651,0.0242155,50.60923077,3.1475,9.504807692
1984/04,4460907.813,1574172.148,8253294.647,-0.0182038,-0.0076742,-0.0088123,48.37153846,4.6475,7.445384615
1985/01,4622899.78,1613590.581,8404256.66,0.0363137,0.0250407,0.0182911,51.58769231,4.63,8.266923077
1985/02,4638566.253,1623446.558,8396975.114,0.0033889,0.0061081,-0.0008664,61.20230769,2.8575,12.44307692
1985/03,4644546.852,1621921.551,8449490.178,0.0012893,-0.0009394,0.0062540,71.62230769,3.91,13.99557692
1985/04,4508365.205,1614792.619,8426550.103,-0.0293208,-0.0043954,-0.0027150,69.89384615,6.015,11.45846154
1986/01,4453786.73,1624460.563,8264066.116,-0.0121060,0.0059871,-0.0192824,76.91769231,5.79,13.43942308
1986/02,4190882.022,1593557.447,8233198.195,-0.0590295,-0.0190236,-0.0037352,82.45076923,5.5475,15.06519231
1986/03,3851466.91,1571665.629,8076914.9,-0.0809889,-0.0137377,-0.0189821,90.5,6.17,16.455
1986/04,3784435.095,1545379.972,8054863.062,-0.0174042,-0.0167247,-0.0027302,106.07,7.12,19.3975
1987/01,3694062.795,1543089.362,8102988.939,-0.0238800,-0.0014822,0.0059748,103.9938462,7.67,18.32846154
1987/02,4165700.917,1586672.746,8324705.442,0.1276746,0.0282442,0.0273623,98.84230769,7.905,16.80557692
1987/03,4218755.404,1602060.441,8333617.942,0.0127360,0.0096981,0.0010706,96.30538462,7.7975,16.27884615
1987/04,4260855.971,1611057.15,8434315.262,0.0099794,0.0056157,0.0120833,113.7042857,11.6225,16.80357143
1988/01,4264287.109,1587993.24,8377340.937,0.0008053,-0.0143160,-0.0067551,125.7738462,8,23.44346154
1988/02,4287195.233,1585794.543,8350462.005,0.0053721,-0.0013846,-0.0032085,43.51538462,2.18,8.698846154
1988/03,4387477.065,1597415.725,8360768.353,0.0233910,0.0073283,0.0012342,32.45,0.98,7.1325
1988/04,4341260.888,1654938.019,8527334.135,-0.0105337,0.0360096,0.0199223,40.06,1.66,8.355
1989/01,4522003.879,1697498.491,8687108.909,0.0416338,0.0257173,0.0187368,49.55769231,1.5975,10.79192308
1989/02,4601420.989,1719229.418,8690427.866,0.0175624,0.0128017,0.0003821,53.148,1.2725,12.0145
1989/03,4539852.448,1748867.597,8852428.216,-0.0133803,0.0172392,0.0186412,36.148,1.0975,7.9395
